Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","CAPC2012X140N",98.800000,-55.250000,180.000000,top
"C2","100nF","CAPC2012X140N",95.550000,-55.250000,0.000000,top
"C3","100nF","CAPC2012X140N",110.500000,-54.500000,180.000000,top
"C4","100nF","CAPC2012X140N",113.750000,-54.500000,0.000000,top
"C5","22pF","CAPC2012X140N",103.000000,-54.750000,180.000000,top
"C6","22pF","CAPC2012X140N",103.000000,-63.250000,0.000000,top
"C7","100nF","CAPC2012X140N",103.250000,-77.800000,270.000000,top
"C8","100nF","CAPC2012X140N",111.500000,-77.750000,270.000000,top
"D1","ZLLS410TA","SOD2513X120N",98.750000,-70.750000,0.000000,top
"D2","ZLLS410TA","SOD2513X120N",108.338000,-70.750000,0.000000,top
"D3","ZLLS410TA","SOD2513X120N",103.544000,-70.750000,180.000000,top
"FB1","742792005","CAPC2012X90N",110.190000,-80.500000,180.000000,top
"FB2","742792005","CAPC2012X90N",106.750000,-80.500000,180.000000,top
"IC1","TC1108-3.3VDBTR","SOT230P700X180-4N",97.250000,-61.250000,270.000000,top
"IC2","MAX31855KASA+","SOIC127P600X175-8N",99.500000,-75.750000,90.000000,top
"IC3","MAX31855KASA+","SOIC127P600X175-8N",107.750000,-75.750000,90.000000,top
"LED1","Green","LEDC2012X90N",102.500000,-67.250000,180.000000,top
"LED2","Green","LEDC2012X90N",107.750000,-67.250000,0.000000,top
"LFB1","Ferrite","CAPC2012X90N",101.940000,-80.500000,180.000000,top
"LFB2","Ferrite","CAPC2012X90N",98.500000,-80.500000,180.000000,top
"R1","10k","RESC2012X75N",106.950000,-54.500000,180.000000,top
"R2","220","RESC2012X75N",98.000000,-67.290000,180.000000,top
"R3","220","RESC2012X75N",112.250000,-67.250000,180.000000,top
"R4","10k","RESC2012X75N",111.500000,-74.000000,90.000000,top
"R5","10k","RESC2012X75N",95.750000,-75.750000,90.000000,top
"R6","10k","RESC2012X75N",103.250000,-74.050000,90.000000,top
"U1","18F14K50","SSOP-20_5.3x7.2mm_P0.65mm",110.250000,-59.750000,0.000000,top
"Y1","12Mhz","CX2520DB12000D0GPSC1",103.000000,-58.650000,270.000000,top
