Time;Status TC1;Internal T TC1;External T TC1;Status TC2;Internal T TC2;External T TC2;Mark
24092023_163344;Working;27.0;29.18;Working;28.62;26.75;0
24092023_163344;Working;27.25;29.25;Working;28.62;26.75;0
24092023_163344;Working;27.25;29.18;Working;28.62;26.75;0
24092023_163345;Working;27.0;29.25;Working;28.62;26.75;0
24092023_163345;Working;27.0;29.18;Working;28.68;26.75;0
24092023_163345;Working;27.0;29.25;Working;28.62;26.75;0
24092023_163345;Working;27.0;29.18;Working;28.62;26.75;0
24092023_163345;Working;27.0;29.18;Working;28.62;26.75;0
24092023_163345;Working;27.0;29.25;Working;28.62;26.75;0
24092023_163345;Working;27.0;29.25;Working;28.62;26.75;0
24092023_163346;Working;27.0;29.18;Working;28.62;26.75;0
24092023_163346;Working;27.0;29.18;Working;28.62;26.75;0
24092023_163346;Working;27.0;29.18;Working;28.68;26.75;0
24092023_163346;Working;27.0;29.18;Working;28.62;26.75;0
24092023_163346;Working;27.0;29.25;Working;28.62;26.75;0
24092023_163346;Working;27.25;29.25;Working;28.68;26.75;0
24092023_163351;Working;27.15;29.22;Working;28.66;26.75;0
24092023_163356;Working;27.2;29.23;Working;28.65;26.75;0
24092023_163401;Working;24.14;29.22;Working;28.64;26.75;0
24092023_163406;Working;17.09;29.19;Working;28.63;26.75;0
24092023_163411;Working;-4.83;29.19;Working;28.63;26.71;0
24092023_163416;Working;-11.31;29.19;Working;28.62;26.5;0
24092023_163421;Working;-12.76;29.19;Working;28.63;26.51;0
24092023_163427;Working;-13.14;29.22;Working;28.66;26.73;0
24092023_163432;Working;-13.24;29.24;Working;28.68;26.75;0
24092023_163437;Working;-13.5;29.23;Working;28.64;26.75;0
24092023_163442;Working;-13.5;29.23;Working;28.65;26.75;0
24092023_163447;Working;-13.53;29.23;Working;28.66;26.74;0
24092023_163452;Working;-13.49;29.23;Working;28.65;26.75;0
24092023_163457;Working;-13.53;29.24;Working;28.68;26.75;0
24092023_163502;Working;-13.5;29.25;Working;28.7;26.93;0
24092023_163507;Working;-13.52;29.27;Working;28.74;26.99;0
24092023_163512;Working;-13.5;29.31;Working;28.76;27.0;0
24092023_163517;Working;-13.51;29.32;Working;28.8;27.0;0
24092023_163522;Working;-13.5;29.32;Working;28.82;27.01;0
24092023_163527;Working;-13.51;29.35;Working;28.83;27.0;0
24092023_163532;Working;-13.5;29.35;Working;28.84;27.0;0
24092023_163537;Working;-13.58;29.35;Working;28.82;27.0;0
24092023_163542;Working;-13.51;29.36;Working;28.83;27.0;0
24092023_163547;Working;-13.52;29.37;Working;28.83;26.96;0
24092023_163552;Working;-13.54;29.37;Working;28.84;26.75;0
24092023_163557;Working;-13.51;29.36;Working;28.83;26.7;0
24092023_163602;Working;-13.53;29.35;Working;28.8;26.75;0
24092023_163607;Working;-13.56;29.33;Working;28.81;26.75;0
24092023_163612;Working;9.18;29.32;Working;28.76;26.62;0
24092023_163617;Working;19.68;29.31;Working;28.74;26.66;0
24092023_163622;Working;24.52;29.3;Working;28.74;26.52;0
24092023_163627;Working;27.18;29.3;Working;28.69;26.51;0
24092023_163632;Working;28.3;29.31;Working;28.74;26.73;0
24092023_163637;Working;28.88;29.31;Working;28.79;26.76;0
24092023_163642;Working;29.51;29.31;Working;28.78;26.75;0
24092023_163647;Working;29.79;29.32;Working;27.75;26.68;0
24092023_163652;Working;30.11;29.31;Working;28.76;26.75;0
24092023_163657;Working;30.65;29.32;Working;28.77;26.75;0
24092023_163702;Working;31.36;29.31;Working;28.75;26.76;0
24092023_163707;Working;31.93;29.31;Working;28.75;26.76;0
24092023_163712;Working;32.36;29.31;Working;28.75;26.79;0
24092023_163717;Working;32.84;29.32;Working;28.75;26.79;0
24092023_163722;Working;33.5;29.31;Working;28.75;26.86;0
24092023_163727;Working;34.26;29.28;Working;28.69;26.77;0
24092023_163732;Working;34.99;29.3;Working;28.71;26.88;0
24092023_163737;Working;35.76;29.31;Working;28.72;26.77;0
24092023_163742;Working;36.56;29.32;Working;28.78;26.96;0
24092023_163748;Working;37.49;29.35;Working;28.82;27.0;0
24092023_163753;Working;38.35;29.37;Working;28.87;27.04;0
24092023_163758;Working;39.46;29.38;Working;28.87;26.94;0
24092023_163803;Working;40.35;29.37;Working;28.86;26.76;0
24092023_163808;Working;41.48;29.37;Working;28.85;26.61;0
24092023_163813;Working;42.54;29.37;Working;28.83;26.74;0
24092023_163818;Working;43.6;29.35;Working;28.83;26.88;0
24092023_163823;Working;44.76;29.32;Working;28.8;26.86;0
24092023_163828;Working;45.94;29.31;Working;28.76;26.7;0
24092023_163833;Working;47.09;29.31;Working;28.75;26.74;0
24092023_163838;Working;48.59;29.31;Working;28.75;26.68;0
24092023_163843;Working;50.08;29.31;Working;28.75;26.75;0
